"PATH_ROW","DATE"
"029-020","1974-08-21/1976-07-05/1976-07-23/1976-09-15"
"029-021","1976-07-05/1976-07-23"
"029-043","1973-01-04"
"030-010","1975-08-17"
"030-011","1975-08-17/1976-07-24"
"030-012","1975-08-17"
"030-013","1974-08-04/1976-07-24"
"030-015","1974-06-29/1975-08-17"
"030-016","1972-07-27/1973-09-14/1974-06-29/1974-07-17/1974-08-22/1975-06-24/1975-08-17/1976-07-24/1976-08-11"
"030-020","1972-09-01/1972-09-19/1973-10-02/1974-08-04/1975-06-24/1976-06-18/1976-07-06/1976-07-24"
"030-021","1972-09-19/1973-10-02"
"030-022","1976-06-18"
"030-024","1975-06-24/1976-07-06"
"030-025","1975-06-24/1976-08-29"
"031-011","1973-08-28/1976-07-25/1976-08-12"
"031-013","1976-07-25"
"031-014","1976-07-25/1977-06-29"
"031-015","1973-09-15/1974-07-18/1974-08-05/1976-07-25"
"031-016","1973-09-15/1974-07-18"
"031-020","1972-09-02/1974-07-18/1974-08-05/1975-06-25/1976-06-19/1976-07-07/1976-08-12"
"031-021","1975-06-25"
"031-025","1972-10-26/1977-07-17"
"031-026","1973-05-12/1973-08-28/1974-08-05/1975-07-13/1975-07-31/1976-06-19"
"031-038","1972-08-15"
"031-040","1976-01-09"
"032-010","1972-08-16/1972-09-03/1973-08-29/1974-07-19/1975-06-26/1977-08-23"
"032-011","1975-06-26/1976-07-26"
"032-014","1972-08-16/1975-06-26/1977-08-23"
"032-015","1974-07-19/1975-06-26/1976-07-26/1977-09-10"
"032-020","1974-06-13/1974-07-19/1975-06-08/1975-08-19/1976-07-08"
"032-021","1974-08-06"
"032-024","1974-08-24/1975-06-08"
"032-037","1974-02-25/1975-04-15"
"032-038","1975-10-12"
"033-008","1975-06-27/1976-07-27"
"033-010","1972-08-17/1975-06-27/1976-08-14/1977-08-24"
"033-011","1972-08-17/1974-07-02/1974-07-20/1975-06-27/1975-08-02/1975-08-20/1976-08-14/1977-08-24"
"033-014","1972-08-17/1974-08-07/1975-08-02/1975-08-20/1976-07-27/1977-07-01/1977-09-29"
"033-015","1974-08-07/1975-06-27/1976-08-14"
"033-019","1973-08-30/1975-07-15/1975-08-20/1976-07-27/1976-08-14/1976-09-01/1977-07-01/1977-09-29"
"033-020","1972-08-17/1974-05-27/1975-07-15"
"033-021","1975-10-13"
"033-026","1974-06-14"
"033-043","1974-11-23"
"034-008","1972-08-18/1976-07-28"
"034-009","1972-08-18/1973-08-31/1975-06-28/1975-08-21/1976-07-28/1976-08-15/1977-08-25"
"034-010","1977-08-07"
"034-011","1975-06-28/1975-08-21/1976-08-15/1977-08-07"
"034-012","1977-08-25"
"034-013","1977-08-07"
"034-014","1975-06-28/1975-08-21/1976-08-15/1976-09-02"
"034-015","1975-06-28/1976-09-02/1976-09-20/1977-07-20/1977-08-07"
"034-016","1975-06-28/1976-07-10/1976-07-28/1976-08-15/1976-09-20/1977-07-20"
"034-017","1973-07-26/1976-07-10/1976-07-28/1977-08-07"
"034-019","1972-10-11/1973-06-02/1974-05-28/1974-06-15/1975-09-08/1976-06-22/1976-08-15/1976-09-02/1977-06-14"
"034-020","1972-10-11/1973-10-24/1975-03-12/1976-09-02/1977-06-14"
"034-023","1976-03-06"
"034-040","1972-12-04"
"034-041","1973-02-14"
"034-042","1974-11-24"
"034-044","1974-11-24"
"035-009","1973-09-01/1975-08-04/1977-08-08/1977-08-26"
"035-010","1975-08-22/1977-08-08"
"035-011","1973-09-01/1975-06-29/1975-08-04"
"035-012","1974-07-04/1976-07-29/1977-08-08"
"035-014","1975-08-04/1976-07-29"
"035-015","1976-07-11/1976-08-16/1977-08-08"
"035-016","1974-07-22/1975-07-17/1975-08-22/1977-08-08"
"035-017","1976-06-23/1976-07-29/1977-09-13/1977-10-01"
"035-018","1974-07-04/1975-09-09/1976-07-11/1976-07-29"
"035-019","1973-09-01/1974-07-04/1976-08-16/1976-09-21"
"035-022","1976-07-29"
"035-023","1976-03-07"
"035-026","1975-08-04/1976-09-21"
"035-044","1972-08-01/1973-01-28"
"036-009","1973-09-02"
"036-010","1972-08-20"
"036-011","1975-08-05"
"036-013","1976-09-04/1977-08-09"
"036-014","1974-07-23/1975-07-18/1977-10-02"
"036-016","1973-09-20/1974-07-05/1976-07-12/1976-07-30/1977-10-02"
"036-017","1976-07-30/1976-08-17/1977-08-09"
"036-018","1973-09-02/1974-07-23/1976-07-30/1976-08-17/1977-10-02"
"036-019","1977-10-02"
"036-020","1976-10-10"
"036-022","1975-02-06"
"036-025","1977-07-04"
"036-026","1972-10-13/1973-04-11/1974-07-23/1975-06-30/1975-08-23/1975-11-03/1976-04-13/1976-09-22/1977-10-02"
"036-043","1973-01-29"
"036-044","1973-01-29/1973-03-24"
"037-009","1976-07-31/1976-08-18"
"037-010","1975-08-06/1976-09-05"
"037-011","1973-09-03/1975-08-06/1976-07-31/1977-07-23"
"037-013","1976-07-31"
"037-014","1975-07-01/1977-07-23"
"037-015","1974-07-24"
"037-016","1973-09-03/1977-07-23"
"037-018","1973-09-21"
"037-025","1973-04-12/1975-11-04/1976-09-23/1976-10-11"
"037-026","1974-04-25"
"037-039","1972-11-01/1975-02-07/1976-03-27"
"037-042","1973-01-12"
"037-043","1973-01-12/1973-03-07"
"038-009","1975-06-14/1975-07-02/1976-07-14/1977-07-24/1977-08-29"
"038-010","1974-07-25"
"038-013","1977-10-04"
"038-014","1974-07-25/1975-07-02/1975-08-07/1976-08-01/1977-08-29"
"038-015","1977-08-29/1977-10-04"
"038-016","1976-06-26/1977-08-29"
"038-017","1973-10-10"
"038-018","1974-06-01/1975-07-02/1976-06-26"
"038-019","1974-06-19/1976-05-21"
"038-025","1973-04-13/1974-04-26/1975-09-12/1975-10-18/1975-11-05/1977-05-13/1977-10-22"
"038-026","1974-04-26/1974-05-14"
"038-027","1973-03-08/1976-05-03"
"038-028","1972-08-22/1974-09-17/1977-09-16"
"038-031","1972-08-22"
"038-036","1972-08-22"
"038-038","1976-10-12"
"038-039","1975-02-08/1975-12-29/1976-01-16"
"038-041","1973-01-31/1973-03-08/1974-11-10"
"038-042","1972-11-20/1973-03-26"
"038-043","1972-08-22"
"039-009","1974-07-08/1974-07-26/1976-07-15"
"039-010","1974-07-08/1974-07-26/1975-06-15/1976-07-15/1977-07-25/1977-08-30"
"039-011","1977-08-30"
"039-013","1976-07-15/1977-07-25"
"039-014","1974-06-20"
"039-015","1973-09-23/1974-06-20/1974-07-08"
"039-016","1973-09-23"
"039-017","1975-07-03/1976-06-27"
"039-018","1973-09-23/1976-06-27/1976-08-02"
"039-019","1976-06-27"
"039-026","1973-09-05/1974-04-09/1975-04-22/1976-03-29"
"039-027","1976-07-15"
"039-033","1975-04-22"
"039-034","1972-08-05"
"039-039","1974-11-11"
"039-040","1974-11-11"
"040-006","1974-08-14/1977-08-31"
"040-009","1975-08-27/1977-07-26"
"040-010","1975-08-27/1977-07-26"
"040-011","1973-09-06/1977-08-31"
"040-014","1972-08-24/1975-08-09/1977-09-18"
"040-015","1977-09-18"
"040-016","1973-06-08/1975-08-27/1977-06-20/1977-09-18/1977-10-06"
"040-017","1972-08-24/1973-09-06/1975-08-27/1976-09-26/1977-06-20/1977-10-06"
"040-018","1975-05-11/1976-07-16/1976-08-03/1976-09-26/1977-07-26"
"040-025","1973-03-28/1975-05-11"
"040-026","1972-09-29/1976-03-30"
"040-035","1974-05-16"
"040-038","1972-09-29/1973-03-28/1974-03-23/1975-02-28"
"040-039","1972-09-29/1972-11-22/1973-10-30/1973-11-17/1974-11-12/1975-01-05/1975-03-18/1975-10-02/1975-12-13/1976-01-18/1977-10-24"
"040-040","1972-09-29/1973-11-17"
"040-041","1973-02-02"
"041-009","1972-08-25"
"041-011","1976-07-17"
"041-012","1975-07-05/1976-07-17"
"041-014","1973-06-27/1976-07-17/1976-08-22"
"041-015","1972-08-25/1975-07-05"
"041-017","1972-08-25/1975-07-05"
"041-020","1973-05-22/1975-05-12"
"041-021","1972-10-18"
"041-032","1976-05-24/1976-08-04"
"041-037","1973-03-29"
"041-038","1973-02-03/1973-03-11/1976-03-13"
"041-039","1976-10-15"
"041-040","1973-04-16"
"042-009","1974-07-11/1974-07-29/1975-08-11"
"042-010","1974-07-11/1975-08-11"
"042-011","1974-07-11/1975-06-18/1976-07-18/1977-06-22"
"042-012","1974-07-11/1977-09-02"
"042-013","1974-06-23/1974-07-11/1975-08-11/1977-09-02"
"042-014","1974-06-23/1975-08-11"
"042-015","1977-06-22"
"042-016","1977-06-22/1977-09-20"
"042-017","1972-08-08/1973-05-23/1975-08-11/1977-09-20"
"042-018","1976-07-18"
"042-020","1976-07-18"
"042-031","1974-03-07"
"042-034","1975-03-20"
"042-037","1973-01-17"
"042-039","1978-01-06"
"043-009","1974-07-12"
"043-010","1972-08-27/1973-07-17/1974-07-30/1975-08-12"
"043-011","1973-09-09/1974-07-12/1975-06-19"
"043-013","1974-07-12/1976-08-24"
"043-017","1973-06-11"
"043-019","1977-07-29"
"043-040","1974-06-24"
"044-009","1972-08-28/1974-06-25/1974-07-13/1974-07-31/1976-07-20/1977-07-30"
"044-010","1972-08-28/1975-07-08"
"044-011","1974-07-13/1977-07-12"
"044-013","1974-07-13"
"044-014","1976-07-02"
"044-015","1972-08-10/1975-07-08/1976-07-02/1976-07-20"
"044-016","1972-09-15/1974-07-13/1974-07-31/1976-07-02/1976-09-30"
"044-017","1973-05-25/1974-06-25/1974-07-13/1974-07-31/1976-08-07/1976-09-30/1977-08-17"
"044-033","1972-08-10"
"044-034","1975-04-09"
"045-008","1974-08-01"
"045-009","1973-08-06/1975-07-09/1976-07-21"
"045-010","1972-08-29/1974-08-01/1975-07-09/1976-07-21"
"045-011","1974-06-26/1976-07-21"
"045-012","1975-07-09/1976-07-21"
"045-014","1977-09-23"
"045-015","1974-07-14"
"045-016","1972-08-29/1975-06-03/1975-07-09"
"045-032","1974-07-14"
"046-004","1974-08-02"
"046-009","1974-08-02/1975-06-22/1975-08-15/1976-07-22"
"046-010","1975-08-15/1976-07-22"
"046-011","1974-08-02"
"046-014","1974-06-27/1975-06-22/1975-08-15/1976-08-27"
"046-015","1974-06-27/1974-08-02/1976-07-22/1976-08-27"
"046-016","1972-08-30/1974-06-09/1974-06-27/1975-06-22/1976-08-27/1977-09-06"
"046-017","1975-06-22/1975-07-10/1976-08-09/1977-09-06"
"046-018","1974-06-09/1975-04-11"
"047-004","1974-08-03"
"047-007","1974-08-03/1975-08-16"
"047-009","1975-06-23/1975-08-16/1976-07-23"
"047-010","1975-08-16/1976-07-05/1977-09-07"
"047-011","1975-06-23/1975-08-16/1977-09-07"
"047-012","1972-09-18/1975-08-16/1976-08-28/1977-09-07"
"047-013","1972-09-18/1974-08-03/1975-06-23/1976-07-23"
"047-015","1975-08-16/1975-09-03"
"047-017","1974-07-16/1975-06-05"
"048-007","1974-08-04/1975-08-17"
"048-008","1975-06-24/1975-08-17"
"048-009","1975-06-24/1975-08-17/1976-07-24"
"048-010","1975-08-17/1976-07-24"
"048-011","1975-06-24/1976-07-24"
"048-012","1975-08-17"
"048-013","1976-08-29"
"048-014","1972-09-01/1973-10-02/1974-06-29/1974-08-04/1974-08-22"
"048-015","1972-07-27/1972-09-01/1974-08-22/1975-06-24/1975-09-22"
"048-016","1973-05-11"
"048-017","1973-10-02/1973-10-20/1974-05-06/1975-05-19"
"048-034","1973-04-23/1974-02-05/1974-02-23/1974-03-13"
"049-008","1972-08-16/1974-08-05/1974-08-23/1976-07-25"
"049-009","1972-08-16/1974-07-18/1974-08-05/1974-08-23/1975-06-25/1976-07-25/1976-08-12"
"049-010","1974-07-18/1975-08-18/1975-09-05/1976-07-25/1976-08-12"
"049-011","1976-08-12"
"049-012","1975-08-18/1976-07-25/1977-09-09"
"049-013","1976-07-25"
"049-014","1975-06-25/1975-08-18/1976-08-30"
"049-015","1974-07-18/1974-08-05/1976-07-25/1976-08-12"
"049-016","1975-09-23"
"050-006","1977-08-05"
"050-007","1977-08-05/1977-08-23"
"050-008","1972-08-16/1972-09-03/1974-07-19/1975-06-26"
"050-009","1972-09-03/1977-08-05"
"050-010","1974-07-19/1975-06-26/1975-07-14"
"050-011","1974-07-19/1975-07-14/1976-08-31"
"050-012","1972-08-17/1974-07-19/1975-06-26"
"050-013","1975-06-26/1977-08-23"
"050-014","1975-07-14"
"050-015","1975-08-19"
"050-016","1975-10-12"
"051-007","1975-08-20/1976-07-27/1977-08-06"
"051-008","1974-07-20/1975-08-20/1977-08-06"
"051-009","1974-07-20/1975-06-27/1975-08-20/1976-07-27/1977-08-06"
"051-010","1974-07-20/1975-08-20/1976-07-27"
"051-011","1972-08-17/1974-07-02/1974-07-20/1975-06-27/1975-07-15/1975-08-20/1976-07-27/1976-09-01/1977-08-06/1977-09-11"
"051-012","1974-07-02/1975-06-27/1977-08-06/1977-08-24"
"051-013","1976-07-27"
"051-014","1975-06-27/1975-07-15/1976-07-27"
"051-015","1976-09-01/1977-06-13"
"051-016","1972-08-17/1972-09-22/1977-06-13"
"051-027","1972-09-04"
"052-008","1977-08-07"
"052-009","1973-08-31/1974-08-08/1974-08-26/1977-08-07/1977-08-25"
"052-010","1973-08-31/1975-08-21"
"052-011","1973-09-18/1974-07-21/1974-08-08/1975-06-28/1975-08-21/1977-08-25"
"052-012","1975-06-28/1975-07-16/1975-08-21"
"052-013","1972-08-18"
"052-014","1974-08-26/1976-09-20/1977-09-12"
"052-015","1972-07-31/1972-09-23/1974-07-21/1975-08-21/1976-09-20/1977-06-14/1977-09-12"
"052-018","1974-07-21"
"053-008","1975-08-22/1977-07-21"
"053-009","1974-08-09/1974-08-27/1977-08-26"
"053-010","1977-08-26"
"053-011","1973-07-09/1973-09-01/1974-07-22/1975-06-29"
"053-012","1973-07-09"
"053-013","1975-08-04"
"053-014","1976-09-21/1977-07-21"
"053-015","1977-06-15"
"053-016","1976-09-21/1977-07-21"
"053-018","1976-06-05"
"054-008","1977-07-22"
"054-010","1977-07-22"
"054-011","1975-06-30/1977-07-22"
"054-012","1974-07-23/1974-08-28/1975-06-30/1977-07-22"
"054-013","1977-07-22"
"054-014","1973-09-20/1975-06-12"
"054-015","1974-08-28/1975-06-12/1976-06-06"
"054-016","1973-09-20/1975-06-30"
"055-008","1977-07-23"
"055-009","1977-07-23"
"055-010","1975-07-01/1977-07-23/1977-08-28"
"055-011","1974-08-29/1977-07-23/1977-08-28"
"055-012","1974-07-06/1977-07-23"
"055-013","1973-09-21/1975-07-01/1975-09-29"
"055-015","1974-07-06/1975-05-08"
"056-010","1974-07-07/1974-08-12/1977-07-06"
"056-011","1974-07-07/1977-07-06/1977-08-29"
"056-012","1972-08-22/1977-10-04"
"056-014","1974-07-07"
"056-015","1975-05-27"
"056-024","1975-11-05"
"057-009","1974-07-26"
"057-010","1973-06-25/1973-09-05"
"057-011","1972-08-23/1977-08-30"
"057-012","1974-07-08/1975-08-08"
"057-013","1974-07-08"
"057-014","1973-05-20/1973-06-25/1974-06-20/1974-07-26/1974-08-31/1975-04-04/1977-06-19"
"057-015","1973-06-07/1974-07-26/1975-06-15/1977-06-19"
"058-008","1974-07-27"
"058-009","1975-07-04"
"058-010","1972-08-06/1972-08-24/1975-09-14/1977-08-31"
"058-011","1974-07-27/1975-07-04/1975-08-09/1975-09-14/1977-07-26"
"058-012","1975-08-09/1975-09-14/1977-08-31"
"058-013","1972-08-06/1974-06-21/1974-07-27/1975-07-04/1977-07-26/1977-08-31"
"058-014","1975-06-16/1975-08-09/1975-08-27/1975-09-14/1977-07-26"
"058-015","1972-08-06"
"059-008","1974-07-10/1974-07-28/1977-07-27"
"059-009","1977-07-27"
"059-010","1974-07-28/1977-09-19"
"059-011","1974-07-28/1977-07-27"
"059-012","1974-09-20"
"059-013","1972-08-25/1974-06-22/1974-07-10/1977-07-27"
"059-014","1973-06-09/1973-09-25/1974-07-28/1974-09-20/1977-07-27"
"060-003","1974-07-29"
"060-008","1974-07-29"
"060-010","1974-07-29"
"060-011","1974-07-29"
"060-013","1972-09-13/1973-06-10"
"060-014","1974-07-29"
"061-008","1977-07-29"
"061-010","1973-09-27/1974-07-30/1977-07-29"
"061-011","1972-08-28/1977-08-16"
"061-012","1974-07-12/1975-07-07/1977-07-29/1977-08-16"
"061-013","1974-06-06"
"062-010","1975-08-13/1977-07-30"
"062-011","1974-07-13/1975-08-13/1977-07-30"
"062-012","1972-08-10/1975-08-31/1977-07-30"
"063-008","1977-07-13"
"063-009","1977-07-13"
"063-010","1972-09-16/1973-09-11/1974-08-01/1975-06-21/1975-09-19/1977-07-13"
"063-011","1975-09-19/1977-07-13"
"064-002","1977-08-19"
"064-008","1977-08-19/1977-09-06"
"064-010","1973-09-12/1974-07-15"
"064-011","1974-06-27/1975-08-15/1977-08-19/1977-09-06"
"064-012","1974-08-02"
"064-013","1972-08-30/1975-08-15/1977-08-19/1977-09-06"
"065-008","1974-07-16/1975-09-03"
"065-009","1974-07-16/1974-08-03/1975-06-23/1975-08-16/1977-09-07"
"065-010","1972-07-26/1974-07-16/1975-08-16/1977-08-20"
"065-011","1974-09-08/1975-08-16"
"065-012","1972-07-26/1975-08-16/1977-08-20"
"065-013","1972-08-31/1974-07-16/1974-08-03/1975-08-16"
"066-008","1974-08-22"
"066-009","1972-07-27/1973-06-16/1974-07-17/1975-06-24/1975-08-17"
"066-010","1972-07-27/1974-07-17/1975-08-17/1977-07-16"
"066-011","1974-07-17/1975-06-06/1975-08-17/1977-07-16/1977-08-03"
"066-012","1972-07-27/1975-08-17/1977-06-10"
"066-013","1972-07-27/1972-09-19/1974-06-11/1977-07-16"
"066-019","1973-09-14"
"067-003","1973-07-05/1974-08-23/1977-07-17"
"067-004","1974-08-23"
"067-007","1974-07-18/1975-06-25/1975-07-13"
"067-009","1972-07-29/1974-07-18/1974-08-05/1974-08-23/1977-07-17"
"067-010","1974-07-18/1974-08-05/1974-08-23/1975-06-25/1977-07-17/1977-08-22"
"067-012","1977-07-17/1977-08-22"
"068-003","1974-08-24"
"068-007","1975-08-19"
"068-008","1973-09-16/1974-08-24/1975-07-14/1975-08-19/1977-09-10"
"068-009","1972-07-29/1974-08-24"
"068-010","1972-07-29/1973-09-16/1974-07-19/1974-08-24/1975-07-14/1977-08-05"
"068-011","1975-06-26/1975-07-14/1977-09-10"
"069-007","1975-06-27/1975-08-20/1977-07-19/1977-08-24"
"069-008","1972-09-04/1975-08-20"
