"PATH_ROW","DATE"
"001-028","1973-03-07/1975-09-11/1976-07-31"
"002-028","1974-06-01"
"003-027","1975-08-08/1975-11-06"
"004-027","1973-10-30/1976-08-03"
"005-023","1974-07-28/1976-06-29"
"005-027","1974-06-04/1975-08-28/1976-06-29"
"005-028","1975-08-28"
"006-022","1973-09-26/1976-06-30/1976-08-05"
"006-024","1976-10-16"
"006-028","1973-09-26"
"006-029","1974-06-05"
"007-024","1976-07-19"
"007-025","1972-08-27/1973-09-09/1973-11-20/1975-09-17/1975-10-05/1976-05-26/1976-07-19"
"007-029","1973-12-08/1974-01-13"
"008-021","1975-07-08"
"008-025","1972-09-15/1972-10-03/1974-06-25/1974-07-13/1975-08-31/1976-07-20/1976-08-07"
"008-026","1972-09-15/1972-10-03/1972-10-21/1973-02-06/1973-09-28/1974-01-14/1974-02-19/1974-03-09/1974-07-13/1974-09-05/1974-09-23/1975-02-14/1975-08-31/1976-07-20/1976-08-07/1976-09-30"
"008-051","1973-01-19"
"009-015","1972-10-04/1975-09-19"
"009-022","1974-09-06"
"009-025","1972-10-22/1974-09-06/1975-07-09/1976-07-21/1976-08-26"
"009-026","1972-08-29/1972-10-04/1973-10-17/1974-05-03/1974-09-06/1974-09-24/1975-07-09/1976-02-28/1976-08-26"
"009-027","1975-11-30"
"009-030","1975-10-25"
"010-014","1976-10-02"
"010-024","1976-08-09"
"010-025","1973-10-18"
"010-030","1972-10-05/1973-04-21/1973-09-30/1974-06-09/1974-10-13/1976-02-29/1976-05-11"
"011-014","1974-05-05"
"011-023","1972-08-31"
"011-030","1973-10-01"
"012-021","1976-08-11"
"012-030","1973-02-10/1973-10-02/1976-03-20"
"013-012","1976-07-07"
"014-020","1972-08-16"
"014-021","1974-07-01"
"014-023","1972-09-03"
"014-032","1975-02-02"
"014-035","1974-01-20"
"015-016","1974-10-18/1975-08-02"
"015-017","1972-09-04/1974-09-12"
"015-018","1972-08-17/1972-09-04"
"015-019","1973-09-17"
"015-020","1972-09-04/1975-08-02"
"015-036","1973-02-13"
"016-017","1972-08-18"
"016-019","1974-07-21/1975-06-28/1975-08-03/1976-07-10/1976-07-28"
"016-022","1976-07-10"
"016-024","1977-09-12"
"016-030","1976-01-30"
"017-016","1977-09-13"
"017-017","1972-10-30/1973-09-01/1977-08-26/1977-09-13"
"017-018","1974-08-09/1975-07-17/1977-08-26/1977-09-13"
"017-019","1972-08-19/1977-09-13"
"017-020","1977-09-13"
"017-021","1972-08-19"
"017-022","1976-10-09"
"017-023","1975-05-24"
"017-024","1975-05-24"
"017-035","1973-04-10"
"017-043","1974-02-10/1974-02-28/1977-12-12"
"018-016","1972-08-02/1974-07-05/1974-07-23/1975-06-30/1975-08-23/1976-07-12"
"018-018","1972-10-13/1974-07-05/1975-06-30/1976-07-30/1977-09-14"
"018-019","1974-07-05/1974-08-10/1975-06-30/1976-07-30/1977-09-14"
"018-021","1977-10-02"
"018-022","1974-08-10"
"018-023","1976-08-17/1977-10-20"
"018-034","1976-03-08"
"018-035","1974-03-19/1976-04-13"
"019-014","1977-07-23"
"019-016","1972-09-08/1974-07-24/1975-08-24/1976-08-18/1977-09-15"
"019-017","1976-07-13/1976-08-18/1977-09-15"
"019-018","1974-07-06/1975-08-24/1976-08-18/1977-07-23/1977-09-15"
"019-019","1974-07-06/1977-07-23"
"019-020","1974-07-24/1976-08-18/1976-10-11"
"019-021","1974-07-06/1974-07-24/1975-08-24"
"019-022","1975-05-26"
"019-023","1976-10-11/1977-06-17"
"019-029","1974-08-29"
"020-014","1976-08-01"
"020-015","1975-08-25"
"020-016","1973-09-04/1974-07-07/1974-07-25/1975-07-02/1975-08-25/1976-07-14/1976-08-01"
"020-017","1973-09-22/1975-08-25"
"020-018","1973-09-22/1974-07-07/1975-07-02/1976-07-14/1977-09-16"
"020-019","1974-07-07/1974-07-25/1976-09-06"
"020-020","1973-09-04/1974-07-25/1976-06-26"
"020-021","1975-07-20"
"021-013","1977-07-25"
"021-014","1977-07-25"
"021-015","1976-09-07"
"021-016","1974-07-08/1974-07-26"
"021-017","1974-07-26"
"021-018","1976-06-27"
"021-019","1974-07-26/1977-07-25"
"021-024","1972-08-23/1972-09-28/1975-05-10"
"022-012","1974-09-01/1977-07-26"
"022-014","1973-09-24/1974-07-27/1974-09-01"
"022-015","1974-07-09/1977-07-26"
"022-017","1975-06-16/1977-07-26"
"022-018","1974-06-21/1974-07-27/1975-06-16"
"022-019","1975-06-16/1976-09-08/1977-07-26"
"022-023","1975-07-04/1975-08-27/1976-06-28"
"022-024","1976-09-26"
"022-034","1974-03-23/1975-04-05"
"023-012","1974-07-28/1975-08-28/1977-07-27"
"023-013","1974-09-02/1975-08-28"
"023-014","1974-07-28/1975-06-17"
"023-015","1974-07-28/1974-09-02/1975-08-28/1977-07-27"
"023-017","1974-07-10/1975-08-28"
"023-018","1973-10-13/1974-07-10/1974-07-28"
"023-019","1974-06-22/1974-07-10/1974-07-28/1975-08-10/1976-06-29/1977-06-21"
"023-020","1974-06-22/1974-08-15"
"023-021","1972-08-25/1974-06-22"
"023-022","1973-09-25/1975-10-21/1976-06-29/1977-09-19"
"023-023","1973-09-25/1975-10-21/1976-06-29/1977-09-19/1977-10-07"
"023-024","1972-09-12/1973-03-29/1975-05-12/1975-10-21/1977-10-07"
"024-011","1975-08-29"
"024-012","1972-08-26/1974-07-29/1976-08-05/1976-09-28/1977-09-02"
"024-013","1972-08-26/1974-07-29/1976-08-05/1977-09-02"
"024-014","1973-09-08/1974-07-29/1974-09-03/1975-07-06/1975-08-29"
"024-015","1972-08-26/1973-09-08/1974-07-29/1974-09-03/1975-07-06/1975-08-29/1977-09-02"
"024-016","1973-09-08/1974-06-23/1975-07-06/1975-08-29/1977-09-02"
"024-017","1974-07-29/1976-09-28"
"024-018","1972-08-26/1974-06-23"
"024-019","1974-06-05/1975-08-29"
"024-020","1973-09-26/1973-10-14/1975-08-29"
"024-021","1972-09-13/1973-09-26/1973-10-14/1974-06-23/1976-06-30/1977-06-22"
"024-022","1972-08-26/1973-09-26/1974-06-05/1974-10-09/1975-05-13/1975-08-29/1975-10-04/1976-06-30/1976-08-23"
"024-023","1974-06-05/1975-10-04/1976-06-30/1976-08-23"
"024-024","1974-06-05/1975-05-13/1975-10-04/1977-09-02"
"024-032","1974-02-17"
"024-040","1973-11-19/1973-12-07/1974-10-09/1975-10-04/1975-11-27/1976-01-20/1976-02-25/1976-08-05"
"025-012","1973-09-09/1975-08-30"
"025-013","1975-08-30"
"025-014","1974-06-24/1974-07-30/1975-06-19/1976-07-19"
"025-015","1973-09-09"
"025-016","1973-09-09/1973-10-15/1974-07-12/1974-07-30/1975-06-19/1975-07-07/1975-08-12/1976-07-19"
"025-017","1973-09-09/1973-10-15/1974-07-12/1974-07-30/1974-09-22/1975-06-19/1975-07-07/1975-08-12/1975-08-30/1976-07-19"
"025-018","1975-08-12"
"025-021","1972-10-02/1973-09-09/1974-06-06/1974-06-24/1974-09-22/1975-07-07/1975-08-30/1976-08-06"
"025-022","1972-10-02/1974-07-30/1974-09-22"
"025-023","1972-10-02/1973-09-09/1974-06-24"
"025-039","1975-03-03/1976-07-01"
"025-040","1972-08-27/1974-10-10"
"026-012","1974-07-31/1974-09-05"
"026-013","1972-08-10/1972-08-28/1974-07-31/1977-07-30"
"026-014","1972-08-28/1973-09-10/1974-07-13/1974-07-31/1974-09-05/1975-08-13/1976-07-20/1977-07-30"
"026-015","1973-09-10/1974-09-05"
"026-016","1972-08-10/1972-09-15/1973-10-16/1974-06-25/1974-07-31/1974-09-05/1974-09-23/1975-08-13/1976-07-20"
"026-017","1972-08-10/1972-08-28/1973-09-10/1973-10-16/1974-07-13/1974-07-31/1974-09-23/1975-08-13"
"026-021","1972-08-10/1974-06-25"
"026-022","1972-08-10/1973-09-10/1976-08-07"
"026-023","1974-07-31"
"026-024","1972-10-03/1973-09-28"
"026-033","1973-01-19/1975-03-22"
"026-034","1975-05-15/1976-03-16"
"026-035","1973-02-06"
"027-012","1974-09-06/1975-07-09/1975-08-14"
"027-013","1974-09-06/1975-08-14"
"027-014","1972-08-29/1974-06-26/1974-08-01/1975-08-14"
"027-015","1972-08-29/1974-08-01/1975-08-14/1976-07-03"
"027-016","1972-08-29/1974-08-01/1975-08-14/1976-07-03"
"027-017","1972-08-29"
"027-021","1972-10-04/1974-07-14/1976-07-03"
"027-022","1973-09-29/1974-06-26"
"027-023","1972-10-04/1976-07-21"
"027-033","1973-01-02/1973-02-25"
"027-035","1976-08-08"
"027-036","1973-02-25/1975-03-05"
"028-011","1975-08-15"
"028-012","1974-08-02/1975-08-15"
"028-014","1972-08-12/1975-08-15"
"028-015","1974-06-27/1975-07-10/1975-08-15"
"028-016","1972-08-12/1974-08-02/1975-07-10/1975-08-15/1976-08-09/1977-08-19"
"028-021","1973-10-18/1975-06-22"
"028-022","1973-10-18/1975-06-22/1976-10-02"
"028-039","1975-02-16"
"028-041","1973-12-11"
"028-045","1973-02-26"
"029-012","1974-08-03/1975-08-16/1976-07-23"
"029-015","1973-07-21/1974-06-28/1974-08-03/1976-07-23/1976-08-10"
"029-016","1972-08-13/1974-06-28/1974-07-16/1974-08-03/1975-08-16/1976-07-23/1976-08-10"
