"PATH_ROW","DATE"
"202-042","1984-09-18/1984-10-04/1984-10-20/1984-12-07/1985-01-08/1985-01-24/1985-12-26"
"202-046","1985-10-07"
"203-038","1984-11-12"
"203-050","1985-10-30"
"205-017","1985-03-18"
"205-040","1984-10-25/1985-02-14/1985-07-08/1985-10-12/1985-12-31"
"205-041","1984-11-10/1985-02-14/1985-09-26/1985-10-12/1985-10-28"
"205-043","1984-11-10/1985-10-12/1985-11-13"
"206-017","1983-07-10"
"206-040","1984-10-16"
"206-042","1984-11-17"
"206-045","1985-03-09/1985-11-04"
"206-050","1984-11-17"
"207-040","1984-11-24/1985-12-13"
"207-041","1985-02-12"
"209-048","1984-12-08/1984-12-24/1985-08-21/1985-09-06"
"209-049","1984-08-18/1984-12-08/1984-12-24/1985-02-10/1985-07-20/1985-11-25"
"209-050","1984-08-18"
"221-013","1983-04-14"
"229-067","1982-10-28"
"230-014","1983-04-13"
