"PATH_ROW","DATE"
"001-028","1983-05-27/1983-10-18/1983-11-03"
"002-004","1982-09-04"
"003-028","1983-04-23"
"004-024","1983-07-03"
"005-028","1982-10-27/1983-05-07/1983-09-12"
"006-025","1983-10-05/1983-10-21/1983-11-06"
"007-004","1982-08-22"
"007-026","1983-06-22/1983-07-08/1983-08-25/1983-09-10/1983-09-26/1983-10-12/1984-01-16/1984-02-17/1984-04-05"
"008-024","1983-09-01"
"008-026","1983-10-19"
"011-029","1983-05-17"
"013-016","1985-08-24"
"013-017","1983-09-20"
"013-018","1983-07-18/1983-09-20/1983-10-06/1984-07-20/1985-08-24"
"013-019","1983-10-06"
"013-032","1983-05-15"
"013-033","1983-04-29"
"014-016","1985-10-02"
"014-018","1983-09-11/1984-09-13/1985-08-31"
"014-024","1985-10-02"
"014-031","1985-04-25"
"014-034","1983-01-30/1983-03-03"
"015-018","1983-09-02/1985-08-06"
"015-019","1985-10-09"
"015-042","1983-02-22/1983-11-21/1983-12-07/1984-01-08"
"016-043","1992-05-28"
"017-016","1985-08-04"
"017-017","1983-08-15/1984-09-02"
"017-041","1983-02-04/1983-08-31/1984-03-10"
"019-021","1985-09-03"
"020-013","1985-08-09"
"020-014","1983-09-21"
"020-022","1984-10-09"
"021-013","1985-06-13/1985-06-29"
"021-018","1985-09-01"
"021-019","1985-07-31"
"021-021","1984-06-26"
"021-040","1983-10-14"
"022-018","1984-09-05"
"022-019","1985-07-06"
"022-020","1985-06-20"
"022-021","1982-10-02/1985-06-20"
"022-022","1983-07-17/1984-06-01/1984-06-17/1985-06-20/1985-07-06/1985-07-22/1985-09-08"
"022-034","1984-01-25"
"023-013","1984-07-10/1985-07-13/1985-08-30"
"023-014","1983-08-09"
"023-015","1983-08-09/1983-09-10/1985-07-13"
"023-016","1984-07-10/1985-07-29"
"023-017","1983-08-09/1983-09-10/1984-07-10/1985-07-29/1985-08-14"
"023-027","1983-07-08"
"024-012","1985-07-20"
"024-013","1983-07-15/1983-09-01/1983-09-17/1984-07-01/1985-06-18/1985-08-21"
"024-015","1983-09-17/1985-07-20/1985-08-05"
"024-016","1983-07-15/1983-09-01/1984-08-18/1985-06-18/1985-08-05/1985-08-21/1985-09-22"
"024-017","1983-07-15/1983-09-01/1984-08-18/1985-06-18/1985-08-05/1985-08-21"
"024-039","1983-01-04"
"025-012","1984-08-09/1984-08-25/1985-07-11/1985-07-27/1985-08-12"
"025-013","1984-07-08/1984-08-25/1985-07-11/1985-08-12/1985-09-29"
"025-014","1984-07-08/1985-06-25/1985-07-27/1985-08-12"
"025-015","1984-07-08/1985-06-25/1985-08-12/1985-09-13"
"025-016","1985-07-27"
"026-012","1984-06-29/1984-07-15"
"026-016","1985-06-16/1985-07-02/1985-08-19"
"026-022","1985-09-04"
"026-033","1983-07-29"
"027-012","1984-07-22/1985-07-25/1985-08-26"
"027-013","1984-07-22/1984-08-07/1984-08-23/1985-07-09/1985-07-25"
"027-016","1984-07-06/1985-09-11"
"028-016","1985-06-30/1985-07-16"
"028-039","1983-04-22"
"029-011","1985-08-08"
"029-014","1982-09-01/1985-06-21"
"029-016","1982-09-01/1984-07-04/1985-07-23/1985-08-24"
"030-008","1986-03-11"
"030-014","1984-07-11/1985-07-30"
"030-016","1985-07-14"
"030-019","1985-08-15"
"030-020","1986-07-01"
"030-027","1986-04-12"
"030-037","1982-10-26/1983-11-14/1984-02-02/1984-06-25/1990-03-22"
"031-008","1985-09-07"
"031-009","1983-08-17/1984-09-04"
"031-010","1983-10-04"
"031-013","1984-08-19"
"031-015","1985-07-21"
"031-016","1984-08-19/1985-07-05/1985-07-21/1985-09-07"
"031-020","1986-01-13"
"031-029","1983-11-05"
"032-017","1984-11-14/1985-07-28/1985-08-13/1985-09-30/1986-07-31"
"032-018","1984-08-10/1984-08-26/1984-10-29/1985-07-28/1985-08-13/1985-08-29/1985-09-14/1985-10-16/1986-07-31"
"032-023","1984-12-16"
"032-028","1983-04-02"
"033-004","1983-08-31"
"033-017","1983-06-28/1984-06-30/1985-08-04/1985-09-05"
"033-018","1983-02-04/1983-09-16/1984-06-30/1984-07-16/1985-07-03"
"033-044","1992-05-03/1992-05-19/1992-06-04"
"034-007","1985-07-26"
"034-010","1983-07-21/1983-09-23/1984-06-21"
"034-018","1984-06-21"
"035-016","1985-09-03/1985-09-19"
"036-010","1984-08-22"
"036-018","1987-07-30"
"036-026","1983-10-07"
"036-027","1983-08-20"
"037-006","1985-07-31"
"037-017","1985-06-13"
"037-026","1983-06-08/1985-06-29"
"037-033","1983-04-21"
"038-026","1983-02-23"
"039-012","1985-07-29"
"039-017","1985-06-11"
"040-018","1985-06-02"
"040-035","1983-02-05"
"041-010","1982-09-05/1983-08-07"
"043-009","1985-07-25"
"043-010","1985-07-25"
"043-011","1985-08-10"
"044-009","1983-07-11/1983-08-28/1985-09-02"
"045-008","1983-08-03/1984-07-04/1985-08-24"
"045-011","1983-09-04"
"046-008","1985-08-15"
"046-012","1985-07-30"
"046-016","1986-01-06"
"048-009","1984-08-26"
"049-014","1985-10-07"
"050-012","1983-07-05/1984-06-21"
"050-016","1986-02-19"
"052-009","1982-09-18/1983-09-05/1986-08-12"
"052-010","1984-09-07"
"053-014","1983-06-08"
"055-013","1985-08-30"
"057-009","1985-08-12"
"057-010","1983-08-23/1985-08-12"
"060-010","1983-06-25/1983-07-11"
"061-009","1982-09-01/1984-06-18/1984-07-20"
"062-008","1986-08-18/1986-09-03"
"062-010","1984-06-25"
"063-011","1982-08-30/1986-07-24"
"064-012","1983-04-18"
"066-006","1983-08-22"
"070-014","1983-07-17"
"072-018","1983-05-28/1983-06-29"
"072-019","1983-10-03"
"072-020","1983-07-31"
"074-010","1989-07-13"
"074-016","1983-06-27"
"075-010","1983-06-18/1983-07-20/1984-07-06/1984-08-07/1989-07-04/1989-08-21"
"075-017","1983-09-22/1992-07-28"
"075-021","1983-07-04/1983-08-21/1983-11-25"
"078-016","1983-06-07"
"078-018","1983-05-06/1983-09-11/1983-10-13"
"079-016","1983-05-29/1983-09-02"
"079-017","1983-10-20/1992-07-08"
"079-018","1983-10-20"
"080-010","1992-06-13"
"080-017","1983-06-21/1983-09-25"
"081-010","1983-08-31/1992-07-22"
"081-011","1992-08-23"
"082-010","1983-08-22"
"082-011","1983-08-06"
"082-013","1983-06-19/1983-07-05"
"082-015","1983-06-19"
"083-013","1983-09-14"
"089-084","1983-07-22"
"089-086","1983-08-07"
"090-081","1984-05-12"
"090-082","1984-05-12"
"094-079","1984-06-25"
"095-083","1984-05-15"
"097-081","1983-10-19"
"097-082","1984-05-29"
"097-083","1982-09-30"
"098-082","1983-06-04"
"101-077","1983-04-06"
"102-081","1984-03-14"
"104-030","1983-10-04/1984-08-03/1985-03-15/1985-05-18/1985-07-05/1986-05-21/1986-10-28"
"104-041","1985-12-12/1986-11-29/1987-01-16"
"106-032","1983-08-31/1987-01-14/1987-04-20"
"106-033","1987-04-20"
"107-028","1983-08-06/1983-10-25"
"108-026","1989-03-06"
"108-027","1983-03-22/1984-04-25/1986-03-14/1987-01-12/1989-03-06"
"108-028","1983-01-17/1984-04-09/1984-10-02/1985-09-03/1986-05-01/1986-06-02/1989-06-10"
"109-028","1983-09-21/1983-11-08"
"110-070","1984-04-23"
"113-034","1983-05-12/1983-09-01/1984-04-12/1984-10-05/1985-10-08/1986-04-02"
"114-037","1986-12-05"
"115-074","1982-11-15/1983-05-10/1983-06-11/1984-01-21/1984-02-06/1984-04-26"
"115-080","1982-08-27"
"117-040","1983-11-16/1983-12-02/1984-04-24"
"118-034","1986-05-07"
"119-025","1986-05-14"
"119-037","1983-11-30/1984-05-08/1985-12-05/1986-12-08"
"153-014","1983-07-07"
"154-011","1983-10-02"
"156-014","1983-07-12"
"157-044","1984-01-27"
"160-047","1984-01-16"
"162-029","1989-07-22"
"163-008","1983-08-30/1988-07-10"
"164-012","1983-07-20"
"165-031","1989-05-24/1989-06-09/1989-06-25/1989-07-27"
"167-008","1988-08-07"
"169-008","1982-09-06/1983-08-08/1988-08-05"
"169-009","1988-08-05"
"169-010","1988-08-05"
"169-057","1990-04-21/1990-10-30"
"172-037","1982-09-11/1984-01-04"
"173-037","1983-03-13"
"173-039","1992-08-28"
"175-011","1983-07-01"
"175-012","1982-09-16"
"175-014","1982-08-31"
"175-056","1988-08-15"
"176-042","1982-09-23/1982-10-09/1983-11-13"
"177-011","1983-06-29"
"177-012","1988-06-26"
"177-036","1988-10-16"
"178-011","1982-10-07/1983-07-22"
"178-040","1983-10-10"
"178-042","1982-09-05/1983-09-08/1983-09-24/1983-10-10/1983-10-26/1983-11-11/1983-12-13/1984-01-30/1984-02-15"
"179-005","1982-10-14"
"179-012","1982-10-14/1988-07-10"
"179-013","1988-06-08"
"179-042","1983-04-08/1983-08-30/1983-09-15/1983-10-01/1983-10-17/1984-02-22"
"179-043","1983-10-17"
"180-012","1983-07-04"
"180-036","1983-05-01/1983-08-21/1984-05-19"
"181-012","1988-06-22/1988-07-24"
"181-036","1984-04-08"
"182-037","1983-09-04/1984-04-15"
"183-043","1982-12-29/1983-01-14"
"184-041","1982-09-15/1983-02-22/1983-03-26/1983-04-11/1983-04-27/1983-05-13/1983-06-14/1983-06-30/1983-07-16/1983-08-01/1983-09-02/1983-09-18/1983-10-04/1983-10-20/1984-03-28/1984-04-13"
"184-042","1983-04-11/1983-04-27/1983-05-13/1983-06-14/1983-06-30/1983-07-16/1983-09-18/1983-10-04/1983-10-20/1984-03-28"
"184-044","1983-01-21"
"185-041","1982-12-27/1983-03-01/1984-04-20/1984-06-07"
"185-042","1984-05-06"
"185-043","1983-11-12"
"186-041","1982-09-13/1983-01-03/1983-02-20/1983-03-08/1983-08-15/1983-08-31/1984-04-27/1984-05-13/1984-06-14"
"186-045","1983-11-19"
"187-040","1983-08-22/1984-04-02"
"188-035","1985-01-06"
"188-038","1983-03-06/1989-03-06"
"188-039","1989-03-22"
"188-043","1983-03-22/1983-05-25/1983-08-29/1983-09-14"
"188-044","1983-09-14"
"189-035","1985-07-24"
"189-045","1984-02-12"
"190-018","1983-06-08"
"190-020","1984-04-23"
"190-035","1983-05-07/1983-06-24/1984-01-18/1984-02-19"
"190-037","1984-09-30/1985-10-03"
"190-048","1984-11-01/1984-11-17"
"191-019","1982-09-16/1983-08-02/1984-04-14/1984-04-30/1984-05-16"
"191-037","1983-12-24/1984-01-09/1984-01-25"
"191-047","1985-01-11/1985-10-26"
"192-013","1982-10-09"
"192-024","1985-11-18"
"192-038","1983-11-13"
"192-041","1985-10-01"
"193-040","1985-09-06"
"193-047","1985-09-22/1985-10-08"
"194-039","1982-12-10/1983-02-28/1983-11-11/1983-11-27/1983-12-29/1984-01-14/1985-02-17"
"194-040","1983-02-28/1983-05-03/1983-06-20/1983-10-10/1983-12-13/1984-02-15/1984-08-25"
"196-023","1985-05-22"
"196-033","1983-05-01/1983-05-17"
"196-039","1982-12-08"
"196-040","1983-02-10/1983-05-01"
"197-019","1982-10-12"
"197-033","1984-05-26"
"198-032","1985-07-07/1985-08-24"
"198-041","1985-10-11"
"198-048","1985-11-28"
"199-028","1983-03-19"
"199-035","1985-12-05"
"199-037","1983-09-11/1983-10-13/1984-03-21/1985-09-16"
"201-017","1985-06-10"
"202-018","1982-10-15/1984-02-23/1985-04-30"
"202-041","1985-10-07"
